verbose,clip,nhid,epochs,seed,lr_patience,show_attention,reverse_src,log_interval,max_length,lr,teacher_force_prob,save,dropout,batch_size,bidirectional,data,lang,emb_size,nlayers,path_emb,use_word_emb,use_attention,cuda,debug,img_conditioning,model,train_word_emb,test_2016, test_2017
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/432/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.19, 3.76
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/428/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.82, 3.43
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/426/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.78, 3.35
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/424/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.79, 3.39
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/422/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.75, 3.34
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/425/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.57, 4.1
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/423/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.43, 3.93
I01,F1.0,I300,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/421/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.38, 3.87
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/420/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.25, 3.86
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.8,S'./out/418/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 3.22, 3.78
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/416/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.86, 3.42
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/415/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.23, 3.78
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/414/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.84, 3.42
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.5,S'./out/413/bin',F0.3,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'GRU',Nsb.,, 3.21, 3.79
I01,F1.0,I200,I25,I1111,F1.0,I00,I00,I20,I50,F0.01,F0.2,S'./out/412/bin',F0.7,I100,I00,S'./data/multi30k',S'en-fr',I300,I2,S'./bin/pre-trained_emb_layer.bin',I00,I01,I01,I00,I0,S'LSTM',Nsb.,, 2.78, 3.38
